3001,《技规》（普速铁路部分）铁路线路分为正线、站线、到发线、段管线、岔线、安全线及避难线。,错,,
3002,《技规》（普速铁路部分）固定行车设备定期全面检查和专项检查的检查结果记入《行车设备检查登记簿》内。,对,,
3003,《技规》（普速铁路部分）未设联锁而需加锁的道岔不需安装加锁装置。,错,,
3004,《技规》（普速铁路部分）对设有加锁加封的信号设备，应加锁加封，必要时可设置计数器，使用人员应负责其完整。,对,,
3005,《技规》（普速铁路部分）信号机按类型分为色灯信号机、臂板信号机和机车信号机。信号机按用途分为进站、出站、通过、发车进路、预告、接近、遮断、驼峰、驼峰辅助、复示、调车信号机。,错,,
3006,《技规》（普速铁路部分）信号表示器分为道岔、脱轨、进路、发车、发车线路、调车及车挡表示器。,对,,
3007,《技规》（普速铁路部分）进站、通过、接近、遮断信号机，在正常情况下的显示距离不得小于1000m。,对,,
3008,《技规》（普速铁路部分）道岔区内的调车信号机及驼峰调车场内的线束调车信号机须采用高柱信号机。,错,,
3009,《技规》（普速铁路部分）信号机设在列车运行方向的右侧或其所属线路的中心线上空。,错,,
3010,《技规》（普速铁路部分）列车运行速度超过120km/h的区段，设置两段接近区段，在第一接近区段和第二接近区段的分界处，设接近信号机，在第一接近区段入口内100m处，设置机车信号接通标。,对,,
3011,《技规》（普速铁路部分）出站信号机有两个及以上的运行方向，而信号显示不能分别表示进路方向时，应在信号机上装设发车进路表示器。,错,,
3012,《技规》（普速铁路部分）非集中联锁以外的脱轨器及引向安全线或避难线的道岔，设脱轨表示器。,错,,
3013,《技规》（普速铁路部分）编组站、区段站和电源可靠的其他车站，采用集中联锁。列车调度指挥系统（TDCS）和调度集中系统（CTC）区段，车站应采用集中联锁。,对,,
3014,《技规》（普速铁路部分）半自动闭塞、自动站间闭塞及四显示自动闭塞区段，正线上的出站信号机未开放时，进站信号机不能开放通过信号；主体信号机未开放时，预告信号机不能开放。,错,,
3015,《技规》（普速铁路部分）装有转换锁闭器，电动、电液转辙机的道岔，当第一连接杆处（分动外锁闭道岔为锁闭杆处）的尖轨与基本轨间、心轨与翼轨间有2mm及以上水平间隙时，不能锁闭或开放信号机。,错,,
3016,《技规》（普速铁路部分）在双线区段，应采用自动闭塞或自动站间闭塞。,错,,
3017,《技规》（普速铁路部分）站间行车电话及扳道电话，禁止其他电话接入。,对,,
3018,《技规》（普速铁路部分）调度所、车站和机车、动车组装备的列车调度通信设备应连接语音记录装置，对列车调度、站间行车的通话进行录音。,对,,
3019,《技规》（普速铁路部分）电气化区段运行的客车、机械冷藏车等应有“电气化区段禁止攀登”的标识。,错,,
3020,《技规》（普速铁路部分）自轮运转特种设备是在铁路营业线上运行的铁路轨道车、救援起重机、企业自备机车及铁路施工、维修专用车辆（包括架桥机、铺轨机、接触网作业车、大型养路机械等）。,错,,
3021,《技规》（普速铁路部分）轨道车等自轮运转特种设备按列车运行时，轨道车运行控制设备、列车无线调度通信设备应作用良好，运行状态下应满足机车车辆速度的规定。,错,,
3022,《技规》（普速铁路部分）在接触网支柱及距接触网带电部分5000mm范围内的金属结构物须接地。,对,,
3023,《技规》（普速铁路部分）有大型养路机械作业的路基地段，接触网支柱内侧距线路中心距离不小于3100mm。,对,,
3024,《技规》（普速铁路部分）为保证人身安全，除专业人员执行有关规定外，其他人员（包括所携带的物件）与牵引供电设备带电部分的距离，不得小于2000mm。,对,,
3025,《技规》（普速铁路部分）铁路行车组织工作，必须贯彻安全生产的方针，坚持高度集中、统一领导的原则。,对,,
3026,《技规》（普速铁路部分）列车运行图的编制，应在加强货流组织的基础上，最大限度地组织成组、直达运输，合理分配各编组站、区段站的中转工作，减少列车改编次数。,错,,
3027,《技规》（普速铁路部分）行车工作必须坚持集中领导、统一指挥、逐级负责的原则。,对,,
3028,《技规》（普速铁路部分）列车编组计划是铁路行车组织工作的基础。,错,,
3029,《技规》（普速铁路部分）全国铁路的行车时刻，均以北京时间为标准，从零时起计算，实行24小时制。,对,,
3030,《技规》（普速铁路部分）全国各线的列车运行方向，以铁路总公司的规定为准，但枢纽地区的列车运行方向，由调度所规定。,错,,
3031,《技规》（普速铁路部分）调度日（班）计划以外，临时加开或停运列车（单机除外）不需发布调度命令。,错,,
3032,《技规》（普速铁路部分）临时利用本务机车调车作业须发布调度命令。,对,,
3033,《技规》（普速铁路部分）对跨局的列车，更换机车或变更限速条件时，应由铁路总公司列车调度员重新发给相关调度命令。,错,,
3034,《技规》（普速铁路部分）有计划的施工，涉及限速、行车方式发生变化或设备变化时应发布运行揭示调度命令，司机按运行揭示调度命令执行。,对,,
3035,《技规》（普速铁路部分）列车运行等级顺序：1）动车组列车；（2）特快旅客列车；（4）快速旅客列车；（3）特快货物班列；（5）普通旅客列车；（6）军用列车；7）货物列车；（8）路用列车。,错,,
3036,《技规》（普速铁路部分）在多线区间，列车应按左侧单方向运行。,错,,
3037,《技规》（普速铁路部分）旅客列车仅在正方向区间的线路封锁施工、发生自然灾害或因事故中断行车等特殊情况下，经铁路局调度所值班主任准许，方可反方向运行。,对,,
3038,《技规》（普速铁路部分）站内线路的道岔及车站与其他单位所管线路相衔接的道岔（包括防护道岔），由公务部门负责管理。,错,,
3039,《技规》（普速铁路部分）电动转辙机手摇把，要实行统一编号、集中管理，建立登记签认制度。集中操纵道岔的清扫分工由铁路总公司规定。,错,,
3040,《技规》（普速铁路部分）道岔的定位规定双线车站正线进站道岔，为各该正线开通的位置。,对,,
3041,《技规》（普速铁路部分）车有关人员，在任职、提职、改职前，必须按照铁路职业技能培训规范要求，进行拟任岗位资格性培训，并经职业技能鉴定和考试考核，取得相应职业资格证书和岗位培训合格证书后，方可任职。,对,,
3042,《技规》（普速铁路部分）行车有关人员在执行职务时，必须坚守岗位，穿着规定的服装，佩戴易于识别的证章或携带相应证件，讲普通话。,对,,
3043,《技规》（普速铁路部分）行车有关人员，在任职期间，须按照铁路职业技能培训规范等规定，进行拟任岗位资格性培训。,错,,
3044,《技规》（普速铁路部分）列车应按本规程、列车编组计划和列车运行图规定的编挂条件、车组、车牵引力、区段内线路状况、重量或长度编组。,错,,
3045,《技规》（普速铁路部分）列车长度应根据运行区段内各站到发线的有效长，并须预留50m的附加制动距离确定。,错,,
3046,《技规》（普速铁路部分）局管内旅客列车经调度所值班主任批准，可不隔离。,错,,
3047,《技规》（普速铁路部分）单组动车组运用状态下不得解编，两组短编组同型动车组可重联运行。救援等特殊情况下，两组不同型号的动车组可重联运行。,对,,
3048,《技规》（普速铁路部分）超过检修期限的动车组禁止上线运行。,错,,
3049,《技规》（普速铁路部分）由于装载的货物需停止自动制动机的作用，而未停止的禁止编入列车。,对,,
3050,《技规》（普速铁路部分）装载危险、易燃等货物的车辆编入列车的隔离限制，按《铁路列车编组计划》执行。,错,,
3051,《技规》（普速铁路部分）装有密接式车钩的客车原则上应附挂旅客列车回送。需附挂货物列车回送时，不得超过10辆，其后编挂的其他车辆不得超过1辆。,对,,
3052,《技规》（普速铁路部分）尾部车辆软管的吊起，有列检作业的列车由列检人员负责，无列检作业的列车由车务人员负责。,对,,
3053,《技规》（普速铁路部分）旅客列车列尾装置尾部主机的安装与摘解、风管及电源的连结与摘解，由车辆部门负责。,对,,
3054,《技规》（普速铁路部分）货物列车列尾装置尾部主机的安装与摘解，由列检人员负责。,错,,
3055,《技规》（普速铁路部分）工作机车应挂于列车头部，正向运行（牵引小运转、路用、救援列车的机车除外）；无转向设备的，禁止逆向运行。,错,,
3056,《技规》（普速铁路部分）双机或多机牵引时，本务机车的职务由第一位机车担当。,对,,
3057,《技规》（普速铁路部分）旅客列车遇特殊情况须附挂跨铁路局的回送机车时，按铁路总公司调度命令办理。,对,,
3058,《技规》（普速铁路部分）回送机车，应挂于本务机车前位或次位，挂有重联机车时为重联机车前位或次位。20‰及以上坡道的区段，禁止办理机车专列回送。,错,,
3059,《技规》（普速铁路部分）单机挂车的辆数，线路坡度不超过12‰的区段，以10辆为限；超过12‰的区段，由铁路局规定。,对,,
3060,《技规》（普速铁路部分）列检作业场所在站编组始发的列车中，准许有制动故障关门车。,错,,
3061,《技规》（普速铁路部分）关门车不得挂于机车后部三辆车之内；在列车中连续连挂不得超过两辆；列车最后一辆不得为关门车；列车最后第二、三辆不得连续关门。,对,,
3062,《技规》（普速铁路部分）旅客列车、特快货物班列不准编挂关门车。在运行途中（包括在站折返）如遇自动制动机临时故障，在停车时间内不能修复时，应甩车处理。,错,,
3063,《技规》（普速铁路部分）列车中车辆的连挂，由调车作业人员负责。软管的连结，有列检作业的始发列车由列检人员负责；无列检作业的，由调车作业人员负责。,对,,
3064,《技规》（普速铁路部分）动车组采用机车调车作业时，随车机械师或动车段（所）胜任人员负责过渡车钩和专用风管的安装与拆卸、电气连接线的连结与摘解并打开车门，调车人员负责车钩连结与摘解、软管摘结。,对,,
3065,"《技规》（普速铁路部分）车机车与第一辆车的连挂，由机车乘务员负责。单班单司机值乘的由列检人员负责；无列检作业的列车，由车辆乘务员负责；无车辆乘务员的列车,由车站人员负责。",对,,
3066,《技规》（普速铁路部分）列车机车与第一辆车的车钩摘解、软管摘结，由机车乘务员负责。,错,,
3067,《技规》（普速铁路部分）旅客列车在途中摘挂车辆时，车辆的摘挂和软管摘结，由车辆乘务员负责。,错,,
3068,《技规》（普速铁路部分）列车机车与动车组过渡车钩的连结与摘解、软管摘结、电气连接线的连结与摘解，由调车人员负责。,错,,
3069,《技规》（普速铁路部分）其他旅客列车运行途中遇车辆空气弹簧故障时，运行速度不得超过80km/h。,错,,
3070,《技规》（普速铁路部分）动车组列车运行途中遇空气弹簧故障时，运行速度不得超过160km/h（CRH2、CRH380A/AL型为120km/h）。,对,,
3071,《技规》（普速铁路部分）采用密接式车钩的旅客列车，在运行途中因故障更换15号过渡车钩后，运行速度不得超过120km/h。,错,,
3072,《技规》（普速铁路部分）旅客列车库内检修作业应进行简略试验。,错,,
3073,《技规》（普速铁路部分）列检作业场对运行途中自动制动机发生故障的到达列车应进行全部试验。,对,,
3074,《技规》（普速铁路部分）列车摘挂补机，或第一机车的自动制动机损坏交由第二机车操纵时应进行全部试验。,错,,
3075,《技规》（普速铁路部分）旅客列车出库前应进行持续一定时间的全部试验。,对,,
3076,《技规》（普速铁路部分）长大下坡道为：线路坡度超过6‰，长度为8km及以上；线路坡度超过12‰，长度为5km及以上；线路坡度超过20‰，长度为2km及以上。,对,,
3077,《技规》（普速铁路部分）动车组办理编组顺序表交接。,错,,
3078,《技规》（普速铁路部分）动车组以外的旅客列车途中摘挂车辆时，车站负责修改列车编组顺序表。,对,,
3079,《技规》（普速铁路部分）车站的调车工作，应按车站的技术作业过程及调车作业计划进行。,对,,
3080,《技规》（普速铁路部分）调车工作要固定作业区域、线路使用、调车机车、人员、班次、交接班时间、交接班地点、工具数量及其存放地点。,对,,
3081,《技规》（普速铁路部分）调车机车越区作业的联系和防护办法，应在《技规》内规定。,错,,
3082,《技规》（普速铁路部分）无线调车灯显设备严禁与列车运行监控装置配合使用。,错,,
3083,《技规》（普速铁路部分）动车段（所）调车工作的领导及指挥由铁路局规定。,对,,
3084,《技规》（普速铁路部分）利用本务机车进行调车作业时，可由车站值班员或调车区长担任指挥工作。,错,,
3085,《技规》（普速铁路部分）调车指挥人应正确及时地编制、布置调车作业计划。,错,,
